Cement;Blast Furnace Slag;Fly Ash;Water;Superplasticizer;Coarse Aggregate;Fine Aggregate;Age;Concrete compressive strength
540.00;0.00;0.00;162.00;2.5;1040.00;676.00;28.00;7998611076.00
540.00;0.00;0.00;162.00;2.5;1055.00;676.00;28.00;6188736576.00
332.5;142.5;0.00;228.00;0.00;932.00;594.00;270.00;40269535256.00
332.5;142.5;0.00;228.00;0.00;932.00;594.00;365.00;41052779992.00
198.6;132.4;0.00;192.00;0.00;978.4;825.5;360.00;44296075096.00
266.00;114.00;0.00;228.00;0.00;932.00;670.00;90.00;47029847436.00
380.00;95.00;0.00;228.00;0.00;932.00;594.00;365.00;43698299404.00
380.00;95.00;0.00;228.00;0.00;932.00;594.00;28.00;36447769788.00
266.00;114.00;0.00;228.00;0.00;932.00;670.00;28.00;45854290856.00
475.00;0.00;0.00;228.00;0.00;932.00;594.00;28.00;3928978986.00
198.6;132.4;0.00;192.00;0.00;978.4;825.5;90.00;38074243672.00
198.6;132.4;0.00;192.00;0.00;978.4;825.5;28.00;28021683592.00
427.5;47.5;0.00;228.00;0.00;932.00;594.00;270.00;4301296026.00
190.00;190.00;0.00;228.00;0.00;932.00;670.00;90.00;4232693164.00
304.00;76.00;0.00;228.00;0.00;932.00;670.00;28.00;47813781648.00
380.00;0.00;0.00;228.00;0.00;932.00;670.00;90.00;52908319812.00
139.6;209.4;0.00;192.00;0.00;1047.00;806.9;90.00;39358047984.00
342.00;38.00;0.00;228.00;0.00;932.00;670.00;365.00;56141962252.00
380.00;95.00;0.00;228.00;0.00;932.00;594.00;90.00;40563252032.00
475.00;0.00;0.00;228.00;0.00;932.00;594.00;180.00;42620648416.00
427.5;47.5;0.00;228.00;0.00;932.00;594.00;180.00;41836714204.00
139.6;209.4;0.00;192.00;0.00;1047.00;806.9;28.00;2823748958.00
139.6;209.4;0.00;192.00;0.00;1047.00;806.9;3.00;806342182.00
139.6;209.4;0.00;192.00;0.00;1047.00;806.9;180.00;44207822168.00
380.00;0.00;0.00;228.00;0.00;932.00;670.00;365.00;52516697444.00
380.00;0.00;0.00;228.00;0.00;932.00;670.00;270.00;53300631656.00
380.00;95.00;0.00;228.00;0.00;932.00;594.00;270.00;4115137506.00
342.00;38.00;0.00;228.00;0.00;932.00;670.00;180.00;521243856.00
427.5;47.5;0.00;228.00;0.00;932.00;594.00;28.00;37427515184.00
475.00;0.00;0.00;228.00;0.00;932.00;594.00;7.00;3860376124.00
304.00;76.00;0.00;228.00;0.00;932.00;670.00;365.00;55260122448.00
266.00;114.00;0.00;228.00;0.00;932.00;670.00;365.00;52908319812.00
198.6;132.4;0.00;192.00;0.00;978.4;825.5;180.00;41719503284.00
475.00;0.00;0.00;228.00;0.00;932.00;594.00;270.00;42131120456.00
190.00;190.00;0.00;228.00;0.00;932.00;670.00;365.00;53692254024.00
237.5;237.5;0.00;228.00;0.00;932.00;594.00;270.00;38407950056.00
237.5;237.5;0.00;228.00;0.00;932.00;594.00;28.00;30079769452.00
332.5;142.5;0.00;228.00;0.00;932.00;594.00;90.00;37721921436.00
475.00;0.00;0.00;228.00;0.00;932.00;594.00;90.00;42229026048.00
237.5;237.5;0.00;228.00;0.00;932.00;594.00;180.00;36251958604.00
342.00;38.00;0.00;228.00;0.00;932.00;670.00;90.00;5045930106.00
427.5;47.5;0.00;228.00;0.00;932.00;594.00;365.00;43698299404.00
237.5;237.5;0.00;228.00;0.00;932.00;594.00;365.00;38995383608.00
380.00;0.00;0.00;228.00;0.00;932.00;670.00;180.00;53104130996.00
427.5;47.5;0.00;228.00;0.00;932.00;594.00;90.00;41542997428.00
427.5;47.5;0.00;228.00;0.00;932.00;594.00;7.00;35076402024.00
349.00;0.00;0.00;192.00;0.00;1047.00;806.9;3.00;15049192652.00
380.00;95.00;0.00;228.00;0.00;932.00;594.00;180.00;40759063216.00
